netcdf_name,longname,units,level,standardname
cg_eng_port_dlog2_lu,Cg Eng Port Dlog2 LU,s,,
cg_eng_port_dlog2_name,Cg Eng Port Dlog2 Name,1,,
cg_eng_port_dlog2_rx,Cg Eng Port Dlog2 Rx,counts,,
cg_eng_port_dlog2_state,Cg Eng Port Dlog2 State,1,,
cg_eng_port_dlog2_tx,Cg Eng Port Dlog2 Tx,counts,,
cg_eng_port_dlog3_bad,Cg Eng Port Dlog3 Bad,counts,,
cg_eng_port_dlog3_bb,Cg Eng Port Dlog3 BB,counts,,
cg_eng_port_dlog3_good,Cg Eng Port Dlog3 Good,counts,,
cg_eng_port_dlog3_lc,Cg Eng Port Dlog3 LD,s,,
cg_eng_port_dlog3_ld,Cg Eng Port Dlog3 LD,s,,
cg_eng_port_dlog3_log,Cg Eng Port Dlog3 Log,counts,,
cg_eng_port_dlog3_lu,Cg Eng Port Dlog3 LU,s,,
cg_eng_port_dlog3_name,Cg Eng Port Dlog3 Name,1,,
cg_eng_port_dlog3_rx,Cg Eng Port Dlog3 Rx,counts,,
cg_eng_port_dlog3_state,Cg Eng Port Dlog3 State,1,,
cg_eng_port_dlog3_tx,Cg Eng Port Dlog3 Tx,counts,,
cg_eng_port_dlog4_bad,Cg Eng Port Dlog4 Bad,counts,,
cg_eng_port_dlog4_bb,Cg Eng Port Dlog4 BB,counts,,
cg_eng_port_dlog4_good,Cg Eng Port Dlog4 Good,counts,,
cg_eng_port_dlog4_lc,Cg Eng Port Dlog4 LD,s,,
cg_eng_port_dlog4_ld,Cg Eng Port Dlog4 LD,s,,
cg_eng_port_dlog4_log,Cg Eng Port Dlog4 Log,counts,,
cg_eng_port_dlog4_lu,Cg Eng Port Dlog4 LU,s,,
cg_eng_port_dlog4_name,Cg Eng Port Dlog4 Name,1,,
cg_eng_port_dlog4_rx,Cg Eng Port Dlog4 Rx,counts,,
cg_eng_port_dlog4_state,Cg Eng Port Dlog4 State,1,,
cg_eng_port_dlog4_tx,Cg Eng Port Dlog4 Tx,counts,,
cg_eng_port_dlog5_bad,Cg Eng Port Dlog5 Bad,counts,,
cg_eng_port_dlog5_bb,Cg Eng Port Dlog5 BB,counts,,
cg_eng_port_dlog5_good,Cg Eng Port Dlog5 Good,counts,,
cg_eng_port_dlog5_lc,Cg Eng Port Dlog5 LD,s,,
cg_eng_port_dlog5_ld,Cg Eng Port Dlog5 LD,s,,
cg_eng_port_dlog5_log,Cg Eng Port Dlog5 Log,counts,,
cg_eng_port_dlog5_lu,Cg Eng Port Dlog5 LU,s,,
cg_eng_port_dlog5_name,Cg Eng Port Dlog5 Name,1,,
cg_eng_port_dlog5_rx,Cg Eng Port Dlog5 Rx,counts,,
cg_eng_port_dlog5_state,Cg Eng Port Dlog5 State,1,,
cg_eng_port_dlog5_tx,Cg Eng Port Dlog5 Tx,counts,,
cg_eng_port_dlog6_bad,Cg Eng Port Dlog6 Bad,counts,,
cg_eng_port_dlog6_bb,Cg Eng Port Dlog6 BB,counts,,
cg_eng_port_dlog6_good,Cg Eng Port Dlog6 Good,counts,,
cg_eng_port_dlog6_lc,Cg Eng Port Dlog6 LD,s,,
cg_eng_port_dlog6_ld,Cg Eng Port Dlog6 LD,s,,
cg_eng_port_dlog6_log,Cg Eng Port Dlog6 Log,counts,,
cg_eng_port_dlog6_lu,Cg Eng Port Dlog6 LU,s,,
cg_eng_port_dlog6_name,Cg Eng Port Dlog6 Name,1,,
cg_eng_port_dlog6_rx,Cg Eng Port Dlog6 Rx,counts,,
cg_eng_port_dlog6_state,Cg Eng Port Dlog6 State,1,,
cg_eng_port_dlog6_tx,Cg Eng Port Dlog6 Tx,counts,,
cg_eng_port_dlog7_bad,Cg Eng Port Dlog7 Bad,counts,,
cg_eng_port_dlog7_bb,Cg Eng Port Dlog7 BB,counts,,
cg_eng_port_dlog7_good,Cg Eng Port Dlog7 Good,counts,,
cg_eng_port_dlog7_lc,Cg Eng Port Dlog7 LD,s,,
cg_eng_port_dlog7_ld,Cg Eng Port Dlog7 LD,s,,
cg_eng_port_dlog7_log,Cg Eng Port Dlog7 Log,counts,,
cg_eng_port_dlog7_lu,Cg Eng Port Dlog7 LU,s,,
cg_eng_port_dlog7_name,Cg Eng Port Dlog7 Name,1,,
cg_eng_port_dlog7_rx,Cg Eng Port Dlog7 Rx,counts,,
cg_eng_port_dlog7_state,Cg Eng Port Dlog7 State,1,,
cg_eng_port_dlog7_tx,Cg Eng Port Dlog7 Tx,counts,,
cg_eng_port_dlog8_bad,Cg Eng Port Dlog8 Bad,counts,,
cg_eng_port_dlog8_bb,Cg Eng Port Dlog8 BB,counts,,
cg_eng_port_dlog8_good,Cg Eng Port Dlog8 Good,counts,,
cg_eng_port_dlog8_lc,Cg Eng Port Dlog8 LD,s,,
cg_eng_port_dlog8_ld,Cg Eng Port Dlog8 LD,s,,
cg_eng_port_dlog8_log,Cg Eng Port Dlog8 Log,counts,,
cg_eng_port_dlog8_lu,Cg Eng Port Dlog8 LU,s,,
cg_eng_port_dlog8_name,Cg Eng Port Dlog8 Name,1,,
cg_eng_port_dlog8_rx,Cg Eng Port Dlog8 Rx,counts,,
cg_eng_port_dlog8_state,Cg Eng Port Dlog8 State,1,,
cg_eng_port_dlog8_tx,Cg Eng Port Dlog8 Tx,counts,,
cg_eng_pps_bad_pulse,Cg Eng PPS Bad Pulse,counts,,
cg_eng_pps_delta,Cg Eng PPS Delta,us,,
cg_eng_pps_deltamax,Cg Eng PPS Delta Max,us,,
cg_eng_pps_deltamin,Cg Eng PPS Delta Min,us,,
cg_eng_pps_last_update,Cg Eng PPS Last Update,s,,
cg_eng_pps_lock,Cg Eng PPS Lock,1,,
cg_eng_pps_timestamp,Cg Eng PPS Timestamp,1,,
cg_eng_pwrsys_b1_0,Pwrsys B1 0,1,,
cg_eng_pwrsys_b1_1,Pwrsys B1 1,1,,
cg_eng_pwrsys_b1_2,Pwrsys B1 2,1,,
cg_eng_pwrsys_b2_0,Pwrsys B2 0,1,,
cg_eng_pwrsys_b2_1,Pwrsys B2 1,1,,
cg_eng_pwrsys_b2_2,Pwrsys B2 2,1,,
cg_eng_pwrsys_b3_0,Pwrsys B3 0,1,,
cg_eng_pwrsys_b3_1,Pwrsys B3 1,1,,
cg_eng_pwrsys_b3_2,Pwrsys B3 2,1,,
cg_eng_pwrsys_b4_0,Pwrsys B4 0,1,,
cg_eng_pwrsys_b4_1,Pwrsys B4 1,1,,
cg_eng_pwrsys_b4_2,Pwrsys B4 2,1,,
cg_eng_pwrsys_b_chg,Pwrsys B Chg,1,,
cg_eng_pwrsys_cvt_0,Pwrsys Cvt 0,1,,
cg_eng_pwrsys_cvt_1,Pwrsys Cvt 1,1,,
cg_eng_pwrsys_cvt_2,Pwrsys Cvt 2,1,,
cg_eng_pwrsys_cvt_3,Pwrsys Cvt 3,1,,
cg_eng_pwrsys_cvt_4,Pwrsys Cvt 4,1,,
cg_eng_pwrsys_eflag1,Pwrsys Eflag1,1,,
cg_eng_pwrsys_eflag2,Pwrsys Eflag2,1,,
cg_eng_pwrsys_eflag3,Pwrsys Eflag3,1,,
cg_eng_pwrsys_fc1_0,Pwrsys Fc1 0,1,,
cg_eng_pwrsys_fc1_1,Pwrsys Fc1 1,1,,
cg_eng_pwrsys_fc1_2,Pwrsys Fc1 2,1,,
cg_eng_pwrsys_fc2_0,Pwrsys Fc2 0,1,,
cg_eng_pwrsys_fc2_1,Pwrsys Fc2 1,1,,
cg_eng_pwrsys_fc2_2,Pwrsys Fc2 2,1,,
cg_eng_pwrsys_fc_level,Pwrsys Fc Level,1,,
cg_eng_pwrsys_last_update,Pwrsys Last Update,1,,
cg_eng_pwrsys_main_c,Pwrsys Main C,1,,
cg_eng_pwrsys_main_v,Pwrsys Main V,1,,
cg_eng_pwrsys_override,Pwrsys Override,1,,
cg_eng_pwrsys_pv1_0,Pwrsys Pv1 0,1,,
cg_eng_pwrsys_pv1_1,Pwrsys Pv1 1,1,,
cg_eng_pwrsys_pv1_2,Pwrsys Pv1 2,1,,
cg_eng_pwrsys_pv2_0,Pwrsys Pv2 0,1,,
cg_eng_pwrsys_pv2_1,Pwrsys Pv2 1,1,,
cg_eng_pwrsys_pv2_2,Pwrsys Pv2 2,1,,
cg_eng_pwrsys_pv3_0,Pwrsys Pv3 0,1,,
cg_eng_pwrsys_pv3_1,Pwrsys Pv3 1,1,,
cg_eng_pwrsys_pv3_2,Pwrsys Pv3 2,1,,
cg_eng_pwrsys_pv4_0,Pwrsys Pv4 0,1,,
cg_eng_pwrsys_pv4_1,Pwrsys Pv4 1,1,,
cg_eng_pwrsys_pv4_2,Pwrsys Pv4 2,1,,
cg_eng_pwrsys_swg_0,Pwrsys Swg 0,1,,
cg_eng_pwrsys_swg_1,Pwrsys Swg 1,1,,
cg_eng_pwrsys_swg_2,Pwrsys Swg 2,1,,
cg_eng_pwrsys_temp,Pwrsys Temp,1,,
cg_eng_pwrsys_wt1_0,Pwrsys Wt1 0,1,,
cg_eng_pwrsys_wt1_1,Pwrsys Wt1 1,1,,
cg_eng_pwrsys_wt1_2,Pwrsys Wt1 2,1,,
cg_eng_pwrsys_wt2_0,Pwrsys Wt2 0,1,,
cg_eng_pwrsys_wt2_1,Pwrsys Wt2 1,1,,
cg_eng_pwrsys_wt2_2,Pwrsys Wt2 2,1,,
cg_eng_sbc_bid,Cg Eng SBC BID,counts,,
cg_eng_sbc_bstr,Cg Eng SBC BSTR,counts,,
cg_eng_sbc_ce_led,Cg Eng SBC CE LED,counts,,
cg_eng_sbc_eth0,Cg Eng SBC Eth0,counts,,
cg_eng_sbc_eth1,Cg Eng SBC Eth1,counts,,
cg_eng_sbc_fb1,Cg Eng SBC FB1,counts,,
cg_eng_sbc_fb2,Cg Eng SBC FB2,counts,,
cg_eng_sbc_gpio0,Cg Eng SBC GPIO0,counts,,
cg_eng_sbc_gpio1,Cg Eng SBC GPIO1,counts,,
cg_eng_sbc_gpio2,Cg Eng SBC GPIO2,counts,,
cg_eng_sbc_gpio3,Cg Eng SBC GPIO3,counts,,
cg_eng_sbc_gpio4,Cg Eng SBC GPIO4,counts,,
cg_eng_sbc_gpio5,Cg Eng SBC GPIO5,counts,,
cg_eng_sbc_gpo0,Cg Eng SBC GPO0,counts,,
cg_eng_sbc_gpo1,Cg Eng SBC GPO1,counts,,
cg_eng_sbc_gpo2,Cg Eng SBC GPO2,counts,,
cg_eng_sbc_gpo3,Cg Eng SBC GPO3,counts,,
cg_eng_sbc_gpo4,Cg Eng SBC GPO4,counts,,
cg_eng_sbc_led0,Cg Eng SBC LED0,counts,,
cg_eng_sbc_led1,Cg Eng SBC LED1,counts,,
cg_eng_sbc_led2,Cg Eng SBC LED2,counts,,
cg_eng_sbc_wdt,Cg Eng SBC WDT,counts,,
cg_eng_sched_last_update,Sched Last Update,1,,
cg_eng_sched_num1,Sched Num1,1,,
cg_eng_sched_num2,Sched Num2,1,,
cg_eng_sched_num3,Sched Num3,1,,
cg_eng_sched_num4,Sched Num4,1,,
cg_eng_sched_num5,Sched Num5,1,,
cg_eng_sched_num6,Sched Num6,1,,
cg_eng_sched_num7,Sched Num7,1,,
cg_eng_sched_remaining,Sched Remaining,sec,,
cg_eng_sched_status,Sched Status,1,,
cg_eng_sched_status_val,Sched Status Val,1,,
cg_eng_sched_sys,Sched Sys,1,,
cg_eng_sched_time,Sched Time,1,,
cg_eng_sched_type,Sched Type,1,,
channel_array,Downwelling Spectral Irradiance Measurement,counts,L0,
channel_error_status,8 Element Array of Channel Error Status; 0 = OK,1,,
channel_i,8 Element Array of Channel Current,ma,,
channel_state,8 Element Array of Channel State,1,,
channel_v,8 Element Array of Channel Voltage,V,,
check_factor_band,Check Factor Band,1,,
checksum,Checksum,1,,
checksum_offset,Checksum Offset,1,,
chlaflo,Fluorometric Chlorophyll-a Measurement,counts,L0,
chloride_concentration,Chloride Concentration,mmol/kg,,
chlorophyll,Fluorometric Chlorophyll-a Concentration,ug L-1,L1,mass_concentration_of_chlorophyll_a_in_sea_water
chlorophyll_counts,Cholorphyll Signal Counts,counts,L0,
chlorophyll_wavelength,Chlorophyll Measurement Wavelength,nm,,
cleaning_counter,Cleaning Counter,samples,L0,
cleaning_int,Seawater Samples Between Cleanings,count,L0,
clip_pwr_spec,Clip Pwr Spec,1,,
clock,Time,1,,
clock_active,Clock Active,1,,
clock_jump_backward,Clock Jump Backward,1,,
clock_jump_forward,Clock Jump Forward,1,,
clock_read_error,Clock Read Error,1,,
cobalt_concentration,Cobalt Concentration,nmol/kg,,
coil_offset,Coil Offset,1,,
cold_wakeup_occurred,Cold Wakeup Occurred,1,,
command_buffer_overflow,Command Buffer Overflow,1,,
command_set_version,Command Set Version,1,,
commanded_flowrate,Commanded Flowrate to Pump,mL min-1,,
commanded_min_flowrate,Commanded Minimum Flowrate,mL min-1,,
commanded_timelimit,Commanded Time Limit to Pump,min,,
commanded_volume,Commanded Volume to Pump,mL,,
compass_direction,LILY Sensor Compass Direction,degrees,L0,
compass_installed,Compass Installed,1,,
compass_offset_0,Compass Offset 0,1,,
compass_offset_1,Compass Offset 1,1,,
compass_offset_2,Compass Offset 2,1,,
compass_scale_factor_0,Compass Scale Factor 0,1,,
compass_scale_factor_1,Compass Scale Factor 1,1,,
compass_scale_factor_2,Compass Scale Factor 2,1,,
compass_true_heading,Compass True Heading,degree,,
compass_update_rate,Compass Update Rate,Hz,,
computed_optical_transmission,Computed Optical Transmission,1,L0,
cond_coeff_cg,Conductivity Coefficient G,1,,
cond_coeff_ch,Conductivity Coefficient H,1,,
cond_coeff_ci,Conductivity Coefficient I,1,,
cond_coeff_cj,Conductivity Coefficient J,1,,
cond_coeff_cpcor,Conductivity Coefficient PCor,1,,
cond_coeff_cslope,Conductivity Coefficient Slope,1,,
cond_coeff_ctcor,Conductivity Coefficient TCor,1,,
cond_sensor_serial_number,Conductivity Sensor Serial Number,1,,
conductivity,Unprocessed (L0) Seawater Electrical Conductivity Measurement,counts,L0,
conductivity_frequency,Conductivity Frequency,Hz,L0,
conductivity_millisiemens,Seawater Electrical Conductivity Measurement,mS cm-1,,sea_water_electrical_conductivity
configuration,Configuration,1,,
control_board_temperature,Control Board Temperature,ddeg_C,,
coolant_pump_pwm_drive_percent,Coolant Pump Pwm Drive Percent,percent,,
coord_transform_beams,Coord Transform Beams,1,,
coord_transform_mapping,Coord Transform Mapping,1,,
coord_transform_tilts,Coordinate Transform Tilts,1,,
coord_transform_type,Coordinate Transform Type,1,,
coordinate_system,Coordinate System,1,,
coordinates_transformation,Coordinates Transformation,1,,
copper_concentration,Copper Concentration,nmol/kg,,
corrected_compass_direction,Seafloor High-resolution Corrected Compass Direction,degrees,L1,
corrected_dissolved_oxygen,Dissolved Oxygen Concentration from Fastrep DO Instrument,umol kg-1,L2,moles_of_oxygen_per_unit_mass_in_sea_water
corrected_echo_intensity_beam1,Echo Intensity Beam 1,dB,L1,
corrected_echo_intensity_beam2,Echo Intensity Beam 2,dB,L1,
corrected_echo_intensity_beam3,Echo Intensity Beam 3,dB,L1,
corrected_echo_intensity_beam4,Echo Intensity Beam 4,dB,L1,
correlation_beam1,Beam 1 Correlation,percent,L0,
correlation_beam2,Beam 2 Correlation,percent,L0,
correlation_beam3,Beam 3 Correlation,percent,L0,
correlation_beam4,Beam 4 Correlation,percent,L0,
correlation_beam5,Beam 5 Correlation,percent,L0,
correlation_beam_1,"Beam 1 Correlation, Percentage",1,,
correlation_beam_2,"Beam 2 Correlation, Percentage",1,,
correlation_beam_3,"Beam 3 Correlation, Percentage",1,,
correlation_magnitude_beam1,Correlation Magnitude Beam1,1,,
correlation_magnitude_beam2,Correlation Magnitude Beam2,1,,
correlation_magnitude_beam3,Correlation Magnitude Beam3,1,,
correlation_magnitude_beam4,Correlation Magnitude Beam4,1,,
correlation_magnitude_beam5,Correlation Magnitude Beam5,1,,
correlation_magnitude_id,Correlation Magnitude ID,1,,
correlation_threshold,Correlation Threshold,1,,
cpu_board_serial_number,CPU Board Serial Number,1,,
cpu_firmware,CPU Firmware,1,,
cpu_usage,"Cpu Usage, Percentage",percent,,
cspp_current_state,Current Profiler State,1,L0,
cspp_date_time,Device Date and Time,seconds,L0,
cspp_dsp_battery_voltage,DSP Battery Voltage,V,L0,
cspp_enable_device,Enable Device,1,L0,
cspp_enable_state,Enable State,1,L0,
cspp_end_depth,Profile End Depth,meters,L0,
cspp_file_size,File Size,bytes,L0,
cspp_file_space,File Space,bytes,L0,
cspp_filename,Filename,1,L0,
cspp_home_depth,Home Depth,meters,L0,
cspp_interval_time,Interval Time,seconds,L0,
cspp_low_battery_number,Low Battery Number,1,L0,
cspp_low_cell_voltage,Low Cell Voltage,V,L0,
cspp_low_voltage,Low Voltage,V,L0,
cspp_modem_distance,Modem Distance,meters,L0,
cspp_num_files,Number of Files,count,L0,
cspp_num_profiles,Number of Profiles,count,L0,
cspp_previous_state,Previous Profiler State,1,L0,
cspp_profile_number,Profile Number,count,L0,
cspp_profile_start_delta,Start Time Delta,seconds,L0,
cspp_profile_start_time,Profile Start Date and Time,seconds,L0,
cspp_setup_ascent_rate,Setup Ascent Rate,m s-1,L0,
cspp_setup_descent_rate,Setup Descent Rate,m s-1,L0,
cspp_setup_end_depth,Setup End Depth,meters,L0,
cspp_setup_rate,Setup Rate,m s-1,L0,
cspp_setup_start_depth,Setup Start Depth,meters,L0,
cspp_start_delay,Start Delay,seconds,L0,
cspp_start_depth,Profile Start Depth,meters,L0,
cspp_start_time,Profile Start Time,seconds,L0,
cspp_system_voltage,System Voltage,V,L0,
cspp_transmit_battery_voltage,Transmitter Battery Voltage,V,L0,
cspp_travel_time,Profile Travel Time,minutes,L0,
cspp_watts_used,Watts Used,Watts,L0,
cspp_wave_height,Wave Height,meters,L0,
cspp_wave_mode,Wave Mode,1,L0,
cspp_wave_period,Wave Period,seconds,L0,
cspp_wave_start_time,Wave Estimate Start Date and Time,seconds,L0,
cspp_winch_end_position,Winch End Position,count,L0,
ct_depth,CT Depth,1,,
ctd_tc_oxygen,Dissolved Oxygen Concentration from Stable DO Instrument,umol L-1,L1,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water
ctd_time,UTC Time,seconds since 2000-01-01,,
ctd_time_offset,CTD Time Correction Offset,s,,
ctd_time_uint32,"Time, CTD",seconds since 1970-01-01,,
cumulative_volume,Cumulative Volume,mL,,
current_a2d,Raw Absorbance Measurement,counts,,
current_flt32,Winch Current,A,,
current_objective,Current Objective,counts,,
current_tick,Current Second of Logging Interval,s,,
currents,Currents,1,,
cycle_count,Cycle Count,counts,,
cycle_rate,Cycle Rate,s,,
cycles_between_blanks,Cycles Between Blanks,counts,,
d_mean,Mean Peak Wave Direction,degrees,,
dark_frame_spectral_channels,Dark Frame UV Absorption Spectra,counts,,
data_download_ok,Data Download Ok,1,,
data_flag,Real/Simulated Data Flag,1,,
data_log_file,,1,,
data_source_id,Data Source ID,1,,
datalog_manager_version,Datalog Manager Version,1,,
datalogger_state,Datalogger State,1,,
datalogger_timestamp,Datalogger Timestamp,1,,
date,Date,1,,
date_of_fix,Date of the GPS Fix,1,,
date_of_sample,Date of Sample,1,,
date_string,"Measurement Date, UTC",1,,
date_time_array,Date Time Array,1,,
date_time_str,Date and Time String,1,,
date_time_string,Date and Time,,,
day,Day,day,,
day_of_year,Day of Year Number,1,,
day_of_year_number,Day of Year Number,1,,
days_since_1970,Days Since 1970,counts,,
dcl_controller_end_timestamp,DCL Controller End Timestamp,1,,
dcl_controller_start_timestamp,DCL Controller Start Timestamp,1,,
dcl_controller_timestamp,DCL Controller Timestamp,,,
debubble_sample,Debubble with Sample,1,L0,
delta,Time in Ms Pulse Is Off,ms,,
delta_max,Max Time the Pulse Has Been Off in Latest Reporting Period,ms,,
delta_min,Min Time the Pulse Has Been Off in Latest Reporting Period,ms,,
demod_1_type,Demod 1 Type,1,,
demod_1_version,Demod 1 Version,1,,
demod_2_type,Demod 2 Type,1,,
demod_2_version,Demod 2 Version,1,,
deployment_name,Deployment Name,1,,
deployment_start_time,Deployment Start Time,1,,
depth,Depth,m,L2,depth
depth_from_dbar,Depth calculated from pressure,m,L1,depth
depth_from_pressure,Depth Calculated from Pressure,m,L1,depth
depth_goal,Depth Goal,m,,
depth_level_direction,Depth Level Direction,degrees,,
depth_level_magnitude,Depth Level Magnitude,m s-1,,
depth_offset,Depth Offset,mm,,
depth_water_level,Depth Water Level,millimeters,,
descent_continuity,Descent Continuity,counts,,
descent_status,Descent Status,counts,,
desired_charge_rate,Desired Charge Rate,mA,,
detergent_rinse_ct,Number of Detergent Rinses,count,L0,
detergent_rinse_vol,Volume of Detergent Rinse,mL,L0,
detergent_vol,Detergent Volume,mL,L0,
device_count,Device Count,1,,
device_id,Device ID,1,,
device_status,Device Status,1,,
device_type,Device Type,1,,
diagnostics_interval,Diagnostics Interval,s,,
diagnostics_mode_enable,Diagnostics Mode Enable,1,,
dir_cutoff,Dir Cutoff,Hz,,
dir_p2,Dir P2,1,,
direction_band,Direction Band,degrees,,
directional_frequency_spacing,Directional Frequency Spacing,Hz,,
directional_spread_array,Directional Spread Array,degrees,L0,
directional_surface_spectrum,Directional Surface Spectrum,mm^2 Hz-1,,
disable_start_blank_flush,Blank Flush on Start,1,,
disc_flag,Disc Flag,1,,
dissolved_oxygen,Dissolved Oxygen Concentration from Stable DO Instrument,umol kg-1,L2,moles_of_oxygen_per_unit_mass_in_sea_water
distance_beam1,"Distance, Beam 1",1,,
distance_beam2,"Distance, Beam 2",1,,
distance_beam3,"Distance, Beam 3",1,,
distance_beam4,"Distance, Beam 4",1,,
distance_surface,Distance Surface,mm,,
dlog_mgr_act,Number of Data Loggers Active for This DCL,1,,
dlog_mgr_counts,DLOG Mgr Message Counts,counts,,
dlog_mgr_fld,Number of Data Loggers Failed for This DCL,1,,
dlog_mgr_hlt,Number of Data Loggers Stopped for This DCL,1,,
dlog_mgr_map,Map of the State of What Is Running on Each Port,1,,
dlog_mgr_str,Number of Data Loggers Started for This DCL,1,,
dofst_k_oxygen,Raw Frequency from Fastrep DO Instrument,Hz,,
dofst_k_oxygen_l2,Dissolved Oxygen Concentration from Fastrep DO Instrument,umol kg-1,L2,moles_of_oxygen_per_unit_mass_in_sea_water
dosta_abcdjm_cspp_tc_oxygen,Dissolved Oxygen Concentration from Stable DO Instrument - Deprecated - to be replaced by PD951,umol L-1,L1,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water
dosta_analog_calibrated_phase,Calibrated Phase Difference,degrees,L0,
dosta_analog_optode_temperature,Oxygen Sensor Temperature,degrees_Celsius,,
dosta_analog_tc_oxygen,Dissolved Oxygen Concentration from Stable DO Instrument,umol L-1,L1,
dosta_calibrated_phase,Calibrated Phase Difference,degrees,L1,
dosta_ln_optode_oxygen,Deprecated - to be replace by PD950,umol L-1,L1,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water
dosta_ln_optode_temperature,Optode Temperature,degrees_Celsius,,
dosta_optode_temperature,Optode Temperature,degrees_Celsius,L1,
dosta_tc_oxygen,Dissolved Oxygen Concentration from Stable DO Instrument,umol L-1,L2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water
down,Down,1,,
dp_dock_12_v_current,Current,A,,
dp_dock_ambient_temperature,Temperature,A,,
dp_dock_heat_sink_temperature,Temperature,degrees_Celsius,,
dp_dock_ips_status_control,IPS Status,1,,
dp_dock_relative_humidity,"Rel Humidity, Percent",percent,,
dp_mobile_profiler_battery_energy,Battery Energy,wHrs,,
dp_mobile_profiler_current,Current,A,,
dp_mobile_profiler_pressure,Pressure,deciBars,,
dp_mobile_profiler_profile_number,Profile Number,counts,,
dp_mobile_profiler_relative_humidity,"Rel Humidity, Percent",percent,,
dp_mobile_profiler_state,State,1,,
dp_mobile_profiler_temperature_1,Temperature,degrees_Celsius,,
dp_mobile_profiler_temperature_2,Temperature,degrees_Celsius,,
dp_mobile_profiler_temperature_3,Temperature,degrees_Celsius,,
dp_mobile_profiler_voltage,Voltage,V,,
dp_sea,Dp Sea,degrees,,
dp_swell,Dp Swell,degrees,,
dpb_mode,Dpb Mode,1,,
dpb_voltage_mode,Dpb Voltage Mode,1,,
dr_latitude,Dr Latitude,degree,,
dr_longitude,Dr Longitude,degree,,
driver_id_device1,Driver Id Device1,1,,
driver_id_device2,Driver Id Device2,1,,
driver_id_device3,Driver Id Device3,1,,
driver_id_prestart,Driver Id Prestart,1,,
driver_id_sami,Driver Id SAMI,1,,
driver_timestamp,Driver Timestamp,seconds since 1900-01-01,,
ds_freq_hi,Ds Frequency High,cHz,,
dspec_dat,Dspec Dat,(mm sqrt(Hz)-1) deg-1,,
dspec_good,Dspec Good,counts,,
dspec_num_dir,Dspec Num Dir,counts,,
dspec_num_freq,Dspec Num Freq,counts,,
dummy_surf,Dummy Surf,1,,
dws_bitmap,DWS Bitmap,1,,
dynamic_position_type,Dynamic Position Type,1,,
earth_error_velocity,Error Seawater Velocity Profile,m s-1,L1,
east_offset_array,Buoy Displacement - Eastward,m,L0,
eastward_beam_seawater_velocity,Eastward Seawater Velocity Profile,m s-1,L1,eastward_sea_water_velocity
eastward_seawater_velocity,Eastward Sea Water Velocity,m s-1,L1,eastward_sea_water_velocity
eastward_turbulent_velocity,Eastward Turbulent Point Seawater Velocity,m s-1,L1,eastward_sea_water_velocity
eastward_velocity,Eastward Mean Point Seawater Velocity,m s-1,L1,eastward_sea_water_velocity
eastward_wind_velocity,Mean Wind Velocity - Eastward relative to Magnetic North,m s-1,L0,
eastward_wind_velocity_l1,Mean Wind Velocity - Eastward Relative to True North,m s-1,L1,eastward_wind
echo_characters,Echo Characters Flag,1,,
echo_intensity_beam1,Echo Intensity Beam 1 Measurement,counts,L0,
echo_intensity_beam2,Echo Intensity Beam 2 Measurement,counts,L0,
echo_intensity_beam3,Echo Intensity Beam 3 Measurement,counts,L0,
echo_intensity_beam4,Echo Intensity Beam 4 Measurement,counts,L0,
echo_intensity_beam5,Beam #5 Echo Intensity,counts,L0,
echo_intensity_id,Echo Intensity ID,1,,
eco_data_offset,Eco Data Offset,1,,
eh_sensor,Vent Fluid Oxidation Reduction-Potential Measurement,V,L0,
elapsed_run_time,Elapsed Run Time,ms,,
elapsed_time,Time Since Reset,s,,
elapsed_time_config,Elapsed Time Since Configuration,s,,
electrical_null,Electrical Null,1,,
emulator_exception,Emulator Exception,1,,
enable_airsaturation,Enable Air Saturation,,,
enable_alerts,Enable Alerts,1,,
enable_humiditycomp,Enable Humidity Compensation for Vapor Pressure,,,
enable_rawdata,Enable Raw Data,,,
enable_temperature,Inclusion of Temperature in the Output,,,
enable_text,Enable Text,1,,
encoder_counts,Encoder Counts,counts,,
end_of_discharge,End of Discharge,mV,,
energy_density_band,Energy Density Band,m^2 Hz-1,,
eng_wave_motion,Approximate Significant Wave Height,1,,
ensemble_counter,Ensemble Counter,1,,
ensemble_number,Ensemble Number,1,,
ensemble_number_increment,Ensemble Number Increment,1,,
ensemble_start_time,"Ensemble Start Time, UTC",seconds since 1900-01-01,,
ensemble_start_time_2,"Ensemble Start Time, UTC",seconds since 1900-01-01,,
error_10,Error 10,1,,
error_12,Error 12,1,,
error_brown_out_reset,Brown Out Reset Detected,1,,
error_channel_1_not_responding,Channel 1 Not Responding,1,,
error_channel_2_not_responding,Channel 2 Not Responding,1,,
error_channel_3_not_responding,Channel 3 Not Responding,1,,
error_channel_4_not_responding,Channel 4 Not Responding,1,,
error_channel_5_not_responding,Channel 5 Not Responding,1,,
error_channel_6_not_responding,Channel 6 Not Responding,1,,
error_channel_7_not_responding,Channel 7 Not Responding,1,,
error_channel_8_not_responding,Channel 8 Not Responding,1,,
error_channel_overcurrent_fault,Channel-Pic Overcurrent Fault (Any Active Channel),1,,
error_code,Error Code,1,,
